identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000513,"Rodrigo Family, 1950",1950-01-01,Unknown,"Modesto and Benedita Rodrigo in front of their home at 460 Bryant St. Mountain View, California. Parents of Bob, Adele, Frances, Victor, Ernie, Rose, and Ann Rodrigo. Modesto was born in Penaranda, Spain, on June 15, 1885 and Benedita was born in Jala, Spain, April 26, 1896. Emigrated first to Hawaii, then to Mountain View in 1913, California.",PHA P19 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000514,"Rodrigo Family, 1935",1935-01-01,Unknown,"Spanish immigrants Modesto Rodrigo and his wife, Benedita, part of the group which became known as ""Sugar Boat Spaniards,"" in front of their home at 460 Bryant. Mountain View, California. L to R: Adele, Benedita, Josephine, Rodrigo, Bob, Rose, Ernie, Victor, Frances.",PHA P19 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000515,Rodrigo Family,1936-01-01,Unknown,"Spanish immigrant Benedita Rodrigo, 460 Bryant Ave. Mountain View, California. Mother of Bob, Adele, Frances, Victor, Ernie, Rose, and Ann Rodrigo. Picking prunes in Los Altos orchard as Rose stands alongside of car.",PHA P19 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000516,Jim and Susie Stover,1900-01-01,Unknown,"Jim and Susie Stover. Mountain View, California.",PHA P23.8 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000517,Stover Family,,Unknown,"Mrs. George Greenwood, George Greenwood, Susie Stover, James Stover, others. Mountain View, California.",PHA P23.8 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000518,Susie Stover,,Unknown,"Bernice Rundel, Mrs. Stover (Susie), Mrs. Walters, others. Mountain View, California.",PHA P23.8 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000519,"James and Susie Stover, seated",,Unknown,"James and Susie Stover. Mountain View, California.",PHA P23.8 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000520,James and Susie Stover,,"Lewiston, Howard","James and Susie Stover. Mountain View, California.",PHA P23.8 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000521,Marie Stratton,1930-01-01,Weboo Print,"Marie Stratton, 6/24/1930, San Jose. Mountain View, California.",PHA P24 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000522,Marie Moznett Stratton,1930-01-01,Unknown,"Teacher at the Highway Elementary School and first wife of Perry Stratton. Mountain View, California.",PHA P24 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000523,Perry Stratton,1930-01-01,Unknown,"Perry E. Stratton, a teacher and principal at the Mountain View Elementary School.",PHA P24 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000524,Perry and Marie Stratton,1939-01-01,Unknown,"Perry and Marie Stratton (husband and wife), Treasure Island, World's Fair 1939. Mountain View, California.",PHA P24 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000525,George Swall,,Unknown,"George Swall. Mountain View, California.",PHA P25 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000526,Georgia Rogers Swall,1915-01-01,Unknown,"Georgia Rogers Swall, wife of Lester Swall. Mountain View, California.",PHA P25 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000527,"Georgia Rogers Swall, 1970",1970-01-01,Unknown,"Georgia Rogers Swall, wife of Lester Swall. Mountain View, California.",PHA P25 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000528,Georgia Rogers Swall posing at table,1900-01-01,Bushnell Fotographer,"Georgia Rogers Swall, wife of Lester Swall. Mountain View, California.",PHA P25 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000529,Georgia Rogers Swall in white,1900-01-01,Bushnell Fotographer,"Georgia Rogers Swall, wife of Lester Swall. Graduated from College of the Pacific in Elocution. Mountain View, California.",PHA P25 6,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000530,Georgia Swall and Lester Swall,1904-01-01,"Carruther's Studio, San Jose","Georgia Swall and Lester Swall, married 1904. Mountain View, California.",PHA P25 7,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000531,Georgia Content Rogers,1900-01-01,Denninger's Studio,"Georgia Rogers Swall, wife of Lester Swall. Married Lester Swall in 1904, daughter of Thomas and Olive Rogers. Mountain View, California.",PHA P25,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000532,George Swall with hat,1920-01-01,"Hays, Bay L.","George Swall. Mountain View, California.",PHA P25 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000533,"Georgia Rogers Swall, 1901",1901-02-03,Unknown,"Georgia Rogers with unidentified man. Mountain View, California.",PHA P25,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000534,Lester Swall,1900-01-01,Unknown,"Lester Swall, proprietor of Swall's Meat Market. Mountain View, California.",PHA P25 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000535,Clara Halsey Taylor with broach on throat,,Bushnell Fotographer,"Clara Halsey Taylor, wife of George Grant Taylor and mother of Clarence Taylor. A teacher at the Highway Grammar School in Mountain View, California.",PHA P26 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000536,George Taylor,,Bushnell Fotographer,"George Taylor. Mountain View, California.",PHA P26 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000537,Clara Halsey Taylor,,Hartsook,"Clara Halsey Taylor, wife of George Grant Taylor and mother of Clarence Taylor. A teacher at the Highway Grammar School in Mountain View, California.",PHA P26 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000538,Group Picture,,Unknown,"Top row (L to R): Richard Jagels, Estelle Barros;second row: Edna Lauer, Mrs. Susie Rogers Cadwell, Clara Halsey, Prudence Cadwell (child), Samuel Graham;first row: Mr. Cadwell, Samuel Weilheimer, James Kennedy, Janet Cutter. Mountain View, California.",PHA P26,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000539,Anzini Family,1910-01-01,Unknown,"Junction House, Anzini Family. Mountain View, California.",PHA P27 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000540,Booher Family,1898-01-01,Unknown,"Front (L to R): Esther, Naomi, and Ruth Booher. Back: Leila (Neal) Booher, Sarah Ann (Boardman), Neal, Wm. Alpheus Booher, minister of the Methodist Episcopal Church, South, in Mtn View. Picture taken on back of porch of the parsonage on the NW corner of Villa and Franklin. Bicycle belongs to Wm. A. Booher. Mountain View, California.",PHA P27 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000541,Benjamin T. Bubb,1860-01-01,Unknown,"Benjamin T. Bubb. b. 1838-1888. Mountain View, California.",PHA P27 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000542,Sarah Josephine Smith Bubb,1940-01-01,Unknown,"Sarah Josephine Smith Bubb. b. 1853-1944. Mountain View, California.",PHA P27 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000543,Campbell Family,1920-01-01,Unknown,"The Campbells. Upper row: Pete Malone, George Campbell Jr, Mrs. Margaret Campbell, Brill Campbell, Ed Burke, George Campbell, Henry Campbell. Lower row: Tom Campbell, Jack Campbell, Dan Burke, Jim Campbell, Harry Burke. Mountain View, California.",PHA P28,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000544,Dr. Cameron,,Unknown,"Dr. Cameron (dentist) and family, and Clara McCarty. Mountain View, California.",PHA P28 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000545,Mrs. Margaret Campbell,1931-07-30,Bear Photo Services,"Margaret Campbell a few months before death. Mountain View, California.",PHA P28,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000546,Carter Family,,Unknown,"Mr. and Mrs. Thomas B. Carter and family. Children (L to R): baby Evelyn (with mother), Herbert (standing), Clara (with father), Mary (standing), and John. Mary Carter married Samuel Graham. They were the parents of Herbert, Claribel, and James Graham. Mountain View, California.",PHA P28,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000547,"Matia, Lewis, and Campbell",1940-01-01,Yosemite Park & Curry Co.,"Yosemite National Park. George Campbell, Tonia Matia and family, Elaine Lewis. Mountain View, California.",PHA P28,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000548,Garliepp Family,,Unknown,"Garliepp Family. Bill, Marie, Henrietta, Adolph, Eugene, Fred (far right), Eileen (""Nellie""), Jessie, William M. Garliepp, Olive, Mrs. Mary Jane Giroud Garliepp. Mountain View, California.",PHA P29 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000549,Emerson Family,1910-01-01,Unknown,"The E. L. Emerson family by the barn, circa 1910-1912. In the buggy, EL Emerson and daughter Ethel;nest to the buggy, son Ralph;and at the right Annie Emerson (Mrs. E.L.). Ethel probably in high school, her hair is up. Ralph not yet in long pants so is still in grade school. Mountain View, California.",PHA P29 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000550,Pagani Home,1911-01-01,Unknown,"In front of the Pagani Home, Hope Street. L to R: Marie Bianchi (Mrs. Merrill Hugo), carol Gingni (Mrs. Storti), Francis Gingni. Mountain View, California.",PHA P20 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000551,Mrs. and Mrs. Walter Howard,1890-01-01,Unknown,"Mr. and Mrs. Walter Howard, owners of an orchard on Grant Rd. Mountain View, California.",PHA P30 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000552,Mr. Glen Howard,1918-01-01,Unknown,"Mr. Walter Howard's son Glen, plowing his fields. Mountain View, California.",PHA P30 7,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000553,Sarah Margaret Kennedy,,Unknown,"Sarah Margaret Kennedy. Mountain View, California.",PHA P31,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000554,Joseph F. Kennedy and Sarah Margaret Kennedy,,Unknown,"Joseph F. Kennedy and Sarah Margaret Kennedy. Mountain View, California.",PHA P31,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000555,Hobart-Livesay Wedding,1915-01-01,Unknown,"Hobart-Livesay Wedding Party at Seven Oaks Ranch in Los Altos. Mountain View, California.",PHA P30 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000556,Frank Jackson,1920-01-01,Unknown,"Mr. and Mrs. Frank Jackson. Was in real estate and loans office (274 Castro St, 1922);1924 in business with J. V. Manfredi. Wife was Mattie. Mountain View, California.",PHA P31,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000557,Jennings Family,1943-01-01,Unknown,"Jim Jennings family. In Mountain View when Macon dirigible was here. Mr. Jennings, Mrs. Annie Laier Jennings, daugher Margaret, sons Jim Jr, Phil, Bobby. April 1943. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000558,Fabian Markov Family Group Picture,,Unknown,"Mr. Markov was a grocer in Mountain View. Located on state highway across from Highway School, near Calderon. Father, Fabian;sisters, Frances and Mary;brothers Nick and Antone ""Tony""",PHA P32 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000559,Lenox Sisters,1916-04-22,Unknown,"L to R: Helen Bailey, Harriet Holeman, Virginia Lenox, Eleanor Logan, Florence Wright, Elizabeth Taylor, Helen Lenox. April 22, 1916. Mountain View, California.",PHA P32 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000560,Lennox Family,1916-01-01,Unknown,"Lionel Lennox Home. Near Pine Lane on San Antonio Rd, Los Altos. Mountain View, California.",PHA P32 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000561,Annie and Tillie Martin,1915-01-01,Unknown,"Annie and Tillie Martin. Mountain View, California.",PHA P32 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000562,Neuroth Children,1898-01-01,Unknown,"Frances, Willie, Fritz, Lena, and Tillie Neuroth. November 1898. Mountain View, California.",PHA P33 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000563,Mr. and Mrs. Pettitt,1912-10-02,Unknown,"50th anniversary day. Taken October 2, 1912 at home on Palo Alto Ave. Mountain View, California.",PHA P33,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000564,Mr. and Mrs. Pettitt camping,1912-07-14,Unknown,"Picture taken near Soda Rock, California.",PHA P33 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000565,George Sohler Family,,Unknown,"George Sohler and family. Mountain View, California.",PHA P34 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000566,Smurthwaite,1945-01-01,Unknown,"L to R: Mr. Smurthwaite (brother of Mrs. Elizabeth Burke), Mrs. Josephine Beal (sister of Mrs. Burke), Mr. Smurthwaite (brother of Mrs. Burke), Mrs. Elizabeth Burke (wife of Daniel Burke and mother of Jack Burke). Mountain View, California.",PHA P34 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000567,Stricklett,1915-01-01,Unknown,"L to R: Clara McCarty, Elmer Stricklett, and Clara Stricklett. Taken in summer of 1915 by Dr. Gates. Mountain View, California.",PHA P34 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000568,Wallace Sohler,1925-12-01,Unknown,"San Jose W.O.W. Baseball Club. Champions, Winter League. Mountain View, California.",PHA P34 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
